bond_A,X1Sg+,a3Pu,b3Sg-,A1Pu,c3Su+,B1Dg,Bp1Sg+,d3Pg,C1Pg
0.80,-75.135666973514,-74.971416406485,-74.799081214163,-74.932246725222,-75.140131806117,-74.994977966853,-74.743115124665,-74.950580939497,-74.909936224021
0.90,-75.549986461026,-75.440257425376,-75.317574191114,-75.402251952900,-75.546257408376,-75.397558816801,-75.266946420160,-75.404535267236,-75.360856328547
1.00,-75.769888283666,-75.700223750259,-75.611638584148,-75.662661706199,-75.755517445720,-75.612409939510,-75.566268670000,-75.646784211712,-75.599584243717
1.10,-75.874291058857,-75.834858684425,-75.770839160662,-75.797475130646,-75.847966931108,-75.734111229697,-75.730145614534,-75.764322879986,-75.713042210785
1.20,-75.911518250494,-75.895115803573,-75.849424234650,-75.857966006686,-75.872999732671,-75.812339200674,-75.800677561392,-75.809292714173,-75.753169549982
1.25,-75.914604948440,-75.907595575440,-75.869382483278,-75.870636728965,-75.870255432613,-75.833885081802,-75.818815755444,-75.815041962319,-75.756143834841
1.30,-75.910859006053,-75.912072791895,-75.880409739628,-75.875359144160,-75.861092893089,-75.846422330221,-75.829283761403,-75.813535987108,-75.751511128881
1.40,-75.890201872366,-75.904813462679,-75.883919825941,-75.868695061588,-75.831611082662,-75.852762417468,-75.833507392300,-75.797211572929,-75.728262378207
1.50,-75.860571566722,-75.884951050443,-75.872280881456,-75.849508926537,-75.797435001272,-75.843761385281,-75.823036691175,-75.774031898060,-75.704999717030
1.60,-75.829112982989,-75.859370091254,-75.853112560105,-75.824644994304,-75.766566795522,-75.827074077958,-75.802997487066,-75.753164953326,-75.698995194245
1.70,-75.807363965735,-75.832047473191,-75.830990947608,-75.798198649461,-75.742065296263,-75.801956907402,-75.777510312649,-75.737279490471,-75.695588568947
1.80,-75.787254298083,-75.805272661653,-75.808442469384,-75.772790701367,-75.723774269009,-75.779609044060,-75.753851723187,-75.724437353446,-75.690562687448
2.00,-75.750487528842,-75.758046285315,-75.766373379043,-75.731131160442,-75.726639711542,-75.743351256621,-75.718979466480,-75.703127073512,-75.680441161971
2.20,-75.721305129351,-75.721910712291,-75.731050859716,-75.703555414464,-75.714191860054,-75.716495343269,-75.699389356233,-75.689402736372,-75.674415791554
2.40,-75.700830810145,-75.697097329876,-75.704167531121,-75.687395148733,-75.703053933129,-75.698114812509,-75.689402222727,-75.680383846593,-75.672029386685
2.60,-75.687999732833,-75.682866104807,-75.686616786096,-75.678976011275,-75.695533598446,-75.686425652557,-75.683366835207,-75.675768773479,-75.671291524455
2.80,-75.680383561941,-75.676327977286,-75.677432674189,-75.674735796393,-75.691341046449,-75.679259321112,-75.679336813272,-75.673399500429,-75.671069778335
3.00,-75.675956843525,-75.673496146487,-75.673530090241,-75.672655537685,-75.689271752848,-75.675023546598,-75.676731326948,-75.672161478834,-75.670956249185
