bond_A,HF,DFT_PBE,CASSCF,VQE_SA_CASSCF,VQE_MC_PDFT,SHCI
0.80,-74.62195,-75.07640,-74.82963,-74.81872,-75.03176,-75.14223
0.90,-75.03493,-75.49630,-75.25419,-75.24533,-75.44664,-75.46736
1.00,-75.25657,-75.72211,-75.48188,-75.47445,-75.66735,-75.65620
1.10,-75.36190,-75.83023,-75.59226,-75.58504,-75.77292,-75.76128
1.20,-75.39877,-75.86891,-75.63387,-75.62666,-75.81129,-75.79927
1.25,-75.40133,-75.87205,-75.63861,-75.63136,-75.81489,-75.80269
1.30,-75.39691,-75.86803,-75.63620,-75.62890,-75.81161,-75.79939
1.40,-75.37453,-75.84610,-75.61729,-75.61495,-75.79177,-75.77973
1.50,-75.34263,-75.81460,-75.58826,-75.59815,-75.76277,-75.75109
1.60,-75.30754,-75.78016,-75.55589,-75.57369,-75.74000,-75.72410
1.70,-75.27268,-75.74595,-75.52426,-75.54673,-75.72135,-75.69994
1.80,-75.23967,-75.71324,-75.49964,-75.52288,-75.70188,-75.68071
2.00,-75.18124,-75.65479,-75.46560,-75.48326,-75.66520,-75.64565
2.20,-75.13273,-75.60847,-75.44040,-75.45099,-75.63872,
2.40,-75.09267,-75.57401,-75.42459,-75.42604,-75.61767,
2.60,-75.05954,-75.54770,-75.41623,-75.41904,-75.60372,
2.80,-75.03206,-75.52662,-75.41224,-75.41469,-75.59549,
3.00,-75.00919,-75.50930,-75.41361,-75.41222,-75.59099,
