bond_A,HF,DFT_PBE,CASSCF,VQE_SA_CASSCF,VQE_MC_PDFT
0.80,-74.62195020317533,-75.07639661633998,-74.82962582380665,-74.81872252860001,-75.03175836280001
0.90,-75.03493183777942,-75.49630413339065,-75.25418811255301,-75.24533147619999,-75.44663604400000
1.00,-75.25657431358422,-75.72210770889181,-75.48187591575304,-75.47444754240000,-75.66734851820000
1.10,-75.36189721776884,-75.83022575116016,-75.59226132743241,-75.58504159410001,-75.77292075250000
1.20,-75.39876933231336,-75.86890857881458,-75.63386855717087,-75.62665675190000,-75.81128637160000
1.25,-75.40133059696178,-75.87205350649893,-75.63860981406256,-75.63136307620000,-75.81488807430000
1.30,-75.39690521408869,-75.86803019691524,-75.63619516547438,-75.62889775370000,-75.81161141430000
1.40,-75.37453156238323,-75.84610490955262,-75.61729097705683,-75.61495430130000,-75.79177413260000
1.50,-75.34262758449918,-75.81459731446577,-75.58825684047082,-75.59814772880000,-75.76277422299999
1.60,-75.30754087769094,-75.78015708396995,-75.55588588608327,-75.57368788990000,-75.73999328310001
1.70,-75.27268020965219,-75.74594866780406,-75.52426071538713,-75.54673329530000,-75.72135254090000
1.80,-75.23967339800973,-75.71323912955461,-75.49964125297390,-75.52287663289999,-75.70187965190000
2.00,-75.18123512855149,-75.65478853594676,-75.46559719431502,-75.48325600510000,-75.66519971970000
2.20,-75.13273005623510,-75.60847064417933,-75.44040329933799,-75.45098946520000,-75.63872324640000
2.40,-75.09267215167944,-75.57401070575396,-75.42459088670063,-75.42604401170000,-75.61766602380000
2.60,-75.05953892921622,-75.54770185421170,-75.41623025264172,-75.41904179970000,-75.60372376719999
2.80,-75.03205816762458,-75.52662061401705,-75.41224279803568,-75.41469220780000,-75.59549000820000
3.00,-75.00918836780690,-75.50930485503245,-75.41361761279484,-75.41222175430001,-75.59098548839999
