bond_A,CASSCF_12e12o,MCPDFT_12e12o,CASSCF_12e22o,MCPDFT_12e22o,CASSCF_12e28o,MCPDFT_12e28o
1.50,-2099.23933,-2101.36090,-2099.34120,-2101.31905,-2099.38094,-2101.31473
1.55,-2099.25272,-2101.37569,-2099.35600,-2101.33168,-2099.39850,-2101.32822
1.60,-2099.25996,-2101.38364,-2099.36660,-2101.33875,-2099.40946,-2101.33501
1.68,-2099.26448,-2101.38725,-2099.37533,-2101.34143,-2099.41892,-2101.33726
1.70,-2099.26495,-2101.38703,-2099.37652,-2101.34110,-2099.42040,-2101.33686
1.80,-2099.26677,-2101.38282,-2099.38661,-2101.33646,-2099.42490,-2101.33242
2.00,-2099.27621,-2101.37384,-2099.39539,-2101.32968,-2099.43131,-2101.32394
2.25,-2099.29450,-2101.37268,-2099.40774,-2101.32751,-2099.44043,-2101.31994
2.50,-2099.30831,-2101.37477,-2099.41729,-2101.32675,-2099.44641,-2101.31897
2.75,-2099.31559,-2101.37365,-2099.42202,-2101.32384,-2099.44759,-2101.31605
3.00,-2099.31840,-2101.36978,-2099.42315,-2101.31896,-2099.44499,-2101.31187
3.25,-2099.31882,-2101.36482,-2099.42242,-2101.31335,-2099.44050,-2101.30702
