bond_A,vqe_casscf_12e_12o_eV,vqe_casscf_12e_22o_eV,vqe_casscf_12e_28o_eV,vqe_mcpdft_12e_12o_eV,vqe_mcpdft_12e_22o_eV,vqe_mcpdft_12e_28o_eV
1.50,2.031045747222,2.022200841393,1.335328724986,-0.444302896288,-0.027679633406,-0.883521420882
1.55,1.666841252237,1.619282406631,0.857411609617,-0.846877832756,-0.040311610526,-1.250446289789
1.60,1.469828141645,1.330825270164,0.559207003858,-1.063130178615,-0.047376319672,-1.435422922566
1.68,1.346700083654,1.093459800656,0.301834449964,-1.161434145471,-0.050061998335,-1.496456588900
1.70,1.334022591454,1.061120361858,0.261638546469,-1.155443024266,-0.049726292503,-1.485662989112
1.80,1.284483798786,0.786351724816,0.139269435412,-1.040965996187,-0.045091991129,-1.364835519699
2.00,1.027586687461,0.547527129794,-0.035286581443,-0.796467732919,-0.038310469029,-1.134027982695
2.25,0.529833006787,0.211479108542,-0.283460784108,-0.764847881200,-0.036140593803,-1.025232062010
2.50,0.154006547577,-0.048523574227,-0.446047999316,-0.821711967164,-0.035374589646,-0.998888983344
2.75,-0.043908891133,-0.177121159334,-0.478406020740,-0.791470642038,-0.032469583710,-0.919278639649
3.00,-0.120536030705,-0.207933829587,-0.407449899299,-0.686073222507,-0.027589370769,-0.805738311493
3.25,-0.131952005083,-0.188053083121,-0.285442940178,-0.551117754640,-0.021975114168,-0.673556726930
