point,qubits_26,qubits_30,qubits_36,qubits_42
1,-2086.43009,-2086.43071,-2086.43057,-2086.42940
2,-2086.43019,-2086.43150,-2086.43083,-2086.42958
3,-2086.43038,-2086.43173,-2086.43106,-2086.43043
4,-2086.43114,-2086.43200,-2086.43131,-2086.43196
5,-2086.43115,-2086.43231,-2086.43151,-2086.43197
6,-2086.43127,-2086.43231,-2086.43242,-2086.43242
7,-2086.43137,-2086.43247,-2086.43248,-2086.43274
8,-2086.43148,-2086.43264,-2086.43249,-2086.43295
9,-2086.43148,-2086.43268,-2086.43254,-2086.43322
10,-2086.43169,-2086.43280,-2086.43268,-2086.43357
11,-2086.43171,-2086.43281,-2086.43269,-2086.43375
12,-2086.43182,-2086.43283,-2086.43332,-2086.43390
13,-2086.43192,-2086.43286,-2086.43342,-2086.43393
14,-2086.43215,-2086.43336,-2086.43348,-2086.43397
15,-2086.43220,-2086.43338,-2086.43390,-2086.43425
16,-2086.43256,-2086.43381,-2086.43425,-2086.43466
17,-2086.43267,-2086.43383,-2086.43443,-2086.43479
18,-2086.43277,-2086.43394,-2086.43455,-2086.43479
19,-2086.43285,-2086.43421,-2086.43469,-2086.43492
20,-2086.43292,-2086.43422,-2086.43499,-2086.43500
21,-2086.43293,-2086.43424,-2086.43510,-2086.43505
22,-2086.43298,-2086.43442,-2086.43541,-2086.43526
23,-2086.43299,-2086.43454,-2086.43551,-2086.43532
24,-2086.43308,-2086.43466,-2086.43555,-2086.43546
25,-2086.43314,-2086.43479,-2086.43569,-2086.43582
26,-2086.43317,-2086.43479,-2086.43569,-2086.43593
27,-2086.43324,-2086.43492,-2086.43589,-2086.43609
28,-2086.43330,-2086.43498,-2086.43596,-2086.43617
29,-2086.43335,-2086.43499,-2086.43603,-2086.43640
30,-2086.43337,-2086.43500,-2086.43611,-2086.43657
31,-2086.43347,-2086.43508,-2086.43622,-2086.43658
32,-2086.43350,-2086.43520,-2086.43631,-2086.43667
33,-2086.43351,-2086.43527,-2086.43633,-2086.43688
34,-2086.43351,-2086.43531,-2086.43637,-2086.43699
35,-2086.43352,-2086.43537,-2086.43648,-2086.43703
36,-2086.43354,-2086.43542,-2086.43649,-2086.43714
37,-2086.43354,-2086.43545,-2086.43666,-2086.43718
38,-2086.43354,-2086.43548,-2086.43668,-2086.43745
39,-2086.43355,-2086.43553,-2086.43670,-2086.43755
40,-2086.43356,-2086.43557,-2086.43673,-2086.43763
41,-2086.43358,-2086.43559,-2086.43676,-2086.43767
42,-2086.43359,-2086.43559,-2086.43679,-2086.43772
43,-2086.43359,-2086.43561,-2086.43682,-2086.43775
44,-2086.43359,-2086.43561,-2086.43684,-2086.43779
45,-2086.43360,-2086.43562,-2086.43684,-2086.43782
46,-2086.43360,-2086.43564,-2086.43685,-2086.43786
47,-2086.43360,-2086.43567,-2086.43687,-2086.43786
48,-2086.43360,-2086.43567,-2086.43687,-2086.43787
49,-2086.43360,-2086.43568,-2086.43687,-2086.43787
50,-2086.43360,-2086.43569,-2086.43687,-2086.43788
